,room0,room1,type0,type1,changed
122,a,a,wall,wall,False
123,a,a,wall,wall,False
124,a,a,wall,door,False
125,a,a,door,wall,False
126,a,a,wall,wall,False
127,a,a,wall,door,False
128,a,a,door,wall,False
129,a,a,wall,wall,False
130,a,a,wall,wall,False
131,a,a,wall,table,False
132,a,a,table,wall,False
133,a,a,wall,wall,False
134,a,a,wall,table,False
135,a,a,table,door,False
136,a,c,door,door,True
137,c,c,door,wall,False
138,c,c,wall,wall,False
139,c,c,wall,wall,False
140,c,c,wall,wall,False
141,c,c,wall,wall,False
142,c,c,wall,wall,False
143,c,c,wall,wall,False
144,c,c,wall,wall,False
145,c,c,wall,door,False
146,c,d,door,door,True
147,d,d,door,wall,False
148,d,d,wall,wall,False
149,d,d,wall,wall,False
150,d,d,wall,door,False
151,d,d,door,wall,False
152,d,d,wall,door,False
153,d,d,door,door,False
154,d,d,door,wall,False
155,d,d,wall,wall,False
156,d,d,wall,wall,False
157,d,d,wall,door,False
158,d,d,door,wall,False
159,d,d,wall,wall,False
160,d,d,wall,wall,False
161,d,d,wall,door,False
162,d,d,door,wall,False
163,d,d,wall,wall,False
164,d,d,wall,wall,False
165,d,d,wall,door,False
166,d,d,door,wall,False
167,d,d,wall,door,False
168,d,d,door,wall,False
169,d,d,wall,door,False
170,d,b,door,door,True
171,b,b,door,door,False
172,b,b,door,wall,False
173,b,b,wall,wall,False
174,b,b,wall,table,False
175,b,b,table,door,False
176,b,b,door,wall,False
177,b,b,wall,wall,False
178,b,b,wall,wall,False
179,b,b,wall,table,False
180,b,b,table,wall,False
181,b,b,wall,door,False
182,b,b,door,table,False
183,b,b,table,wall,False
184,b,b,wall,wall,False
185,b,b,wall,table,False
186,b,b,table,door,False
187,b,d,door,door,True
188,d,d,door,door,False
189,d,d,door,wall,False
190,d,d,wall,wall,False
191,d,d,wall,wall,False
192,d,d,wall,wall,False
193,d,d,wall,door,False
194,d,d,door,wall,False
195,d,d,wall,door,False
196,d,d,door,wall,False
197,d,d,wall,wall,False
198,d,d,wall,table,False
199,d,d,table,wall,False
200,d,d,wall,wall,False
201,d,d,wall,door,False
202,d,d,door,wall,False
203,d,d,wall,door,False
204,d,d,door,wall,False
205,d,d,wall,door,False
206,d,d,door,wall,False
207,d,d,wall,wall,False
208,d,d,wall,table,False
209,d,d,table,wall,False
210,d,d,wall,table,False
211,d,d,table,wall,False
212,d,d,wall,wall,False
213,d,d,wall,wall,False
214,d,d,wall,wall,False
215,d,d,wall,table,False
216,d,d,table,wall,False
217,d,d,wall,door,False
218,d,d,door,wall,False
219,d,d,wall,wall,False
220,d,d,wall,door,False
221,d,d,door,wall,False
222,d,d,wall,wall,False
223,d,d,wall,wall,False
224,d,d,wall,wall,False
225,d,d,wall,wall,False
226,d,d,wall,wall,False
227,d,d,wall,wall,False
228,d,d,wall,door,False
229,d,d,door,wall,False
230,d,d,wall,wall,False
231,d,d,wall,table,False
232,d,d,table,wall,False
233,d,d,wall,wall,False
234,d,d,wall,table,False
235,d,d,table,wall,False
236,d,d,wall,wall,False
237,d,d,wall,door,False
238,d,b,door,door,True
239,b,b,door,wall,False
240,b,b,wall,wall,False
241,b,b,wall,door,False
242,b,b,door,table,False
243,b,b,table,door,False
244,b,b,door,door,False
245,b,d,door,door,True
246,d,b,door,door,True
247,b,b,door,wall,False
248,b,b,wall,wall,False
249,b,b,wall,wall,False
250,b,b,wall,wall,False
251,b,b,wall,door,False
252,b,b,door,wall,False
253,b,b,wall,wall,False
254,b,b,wall,wall,False
255,b,b,wall,wall,False
256,b,b,wall,door,False
257,b,b,door,wall,False
258,b,b,wall,table,False
259,b,b,table,door,False
260,b,b,door,wall,False
261,b,b,wall,wall,False
262,b,b,wall,wall,False
263,b,b,wall,wall,False
264,b,b,wall,wall,False
265,b,b,wall,door,False
266,b,b,door,wall,False
267,b,b,wall,wall,False
268,b,b,wall,wall,False
269,b,b,wall,door,False
270,b,b,door,wall,False
271,b,b,wall,wall,False
272,b,b,wall,table,False
273,b,b,table,door,False
274,b,b,door,table,False
275,b,b,table,wall,False
276,b,b,wall,door,False
277,b,b,door,door,False
278,b,b,door,wall,False
279,b,b,wall,door,False
280,b,b,door,wall,False
281,b,b,wall,wall,False
282,b,b,wall,table,False
283,b,b,table,wall,False
284,b,b,wall,door,False
285,b,b,door,wall,False
286,b,b,wall,wall,False
287,b,b,wall,table,False
288,b,b,table,wall,False
289,b,b,wall,wall,False
290,b,b,wall,door,False
291,b,a,door,door,True
292,a,a,door,wall,False
293,a,a,wall,wall,False
294,a,a,wall,wall,False
295,a,a,wall,door,False
296,a,a,door,door,False
297,a,a,door,wall,False
298,a,a,wall,wall,False
299,a,a,wall,door,False
300,a,a,door,wall,False
301,a,a,wall,table,False
302,a,a,table,wall,False
303,a,a,wall,table,False
304,a,a,table,wall,False
305,a,a,wall,wall,False
306,a,a,wall,wall,False
307,a,a,wall,door,False
308,a,a,door,door,False
309,a,a,door,wall,False
310,a,a,wall,wall,False
311,a,a,wall,wall,False
312,a,a,wall,door,False
313,a,a,door,wall,False
314,a,a,wall,wall,False
315,a,a,wall,wall,False
316,a,a,wall,wall,False
317,a,a,wall,door,False
318,a,a,door,wall,False
319,a,a,wall,wall,False
320,a,a,wall,wall,False
321,a,a,wall,door,False
322,a,a,door,table,False
323,a,a,table,wall,False
324,a,a,wall,table,False
325,a,a,table,wall,False
326,a,a,wall,door,False
327,a,c,door,door,True
328,c,c,door,wall,False
329,c,c,wall,table,False
330,c,c,table,wall,False
331,c,c,wall,wall,False
332,c,c,wall,wall,False
333,c,c,wall,wall,False
334,c,c,wall,wall,False
335,c,c,wall,table,False
336,c,c,table,wall,False
337,c,c,wall,wall,False
338,c,c,wall,wall,False
339,c,c,wall,wall,False
340,c,c,wall,wall,False
341,c,c,wall,door,False
342,c,c,door,door,False
343,c,c,door,wall,False
344,c,c,wall,wall,False
345,c,c,wall,door,False
346,c,c,door,wall,False
347,c,c,wall,door,False
348,c,c,door,wall,False
349,c,c,wall,table,False
350,c,c,table,wall,False
351,c,c,wall,wall,False
352,c,c,wall,door,False
353,c,c,door,table,False
354,c,c,table,door,False
355,c,c,door,wall,False
356,c,c,wall,table,False
357,c,c,table,door,False
358,c,c,door,wall,False
359,c,c,wall,wall,False
360,c,c,wall,wall,False
361,c,c,wall,wall,False
362,c,c,wall,table,False
363,c,c,table,wall,False
364,c,c,wall,wall,False
365,c,c,wall,wall,False
366,c,c,wall,door,False
367,c,d,door,door,True
368,d,d,door,wall,False
369,d,d,wall,wall,False
370,d,d,wall,wall,False
371,d,d,wall,wall,False
372,d,d,wall,wall,False
373,d,d,wall,wall,False
374,d,d,wall,wall,False
375,d,d,wall,wall,False
376,d,d,wall,door,False
377,d,d,door,wall,False
378,d,d,wall,wall,False
379,d,d,wall,wall,False
380,d,d,wall,wall,False
381,d,d,wall,wall,False
382,d,d,wall,wall,False
383,d,d,wall,wall,False
384,d,d,wall,door,False
385,d,c,door,door,True
386,c,c,door,table,False
387,c,c,table,door,False
388,c,c,door,wall,False
389,c,c,wall,door,False
390,c,c,door,wall,False
391,c,c,wall,wall,False
392,c,c,wall,wall,False
393,c,c,wall,door,False
394,c,c,door,wall,False
395,c,c,wall,door,False
396,c,c,door,wall,False
397,c,c,wall,table,False
398,c,c,table,wall,False
399,c,c,wall,wall,False
400,c,c,wall,wall,False
401,c,c,wall,wall,False
402,c,c,wall,wall,False
403,c,c,wall,wall,False
404,c,c,wall,door,False
405,c,c,door,door,False
406,c,c,door,door,False
407,c,c,door,wall,False
408,c,c,wall,wall,False
409,c,c,wall,wall,False
410,c,c,wall,wall,False
411,c,c,wall,wall,False
412,c,c,wall,table,False
413,c,c,table,door,False
414,c,c,door,wall,False
415,c,c,wall,wall,False
416,c,c,wall,table,False
417,c,c,table,door,False
418,c,c,door,wall,False
419,c,c,wall,wall,False
420,c,c,wall,table,False
421,c,c,table,wall,False
422,c,c,wall,door,False
423,c,c,door,wall,False
424,c,c,wall,wall,False
425,c,c,wall,table,False
426,c,c,table,wall,False
427,c,c,wall,table,False
428,c,c,table,wall,False
429,c,c,wall,door,False
430,c,c,door,wall,False
431,c,c,wall,wall,False
432,c,c,wall,wall,False
433,c,c,wall,wall,False
434,c,c,wall,wall,False
435,c,c,wall,wall,False
436,c,c,wall,wall,False
437,c,c,wall,wall,False
438,c,c,wall,wall,False
439,c,c,wall,wall,False
440,c,c,wall,wall,False
441,c,c,wall,wall,False
442,c,c,wall,wall,False
443,c,c,wall,door,False
444,c,c,door,wall,False
445,c,c,wall,door,False
446,c,c,door,wall,False
447,c,c,wall,door,False
448,c,c,door,wall,False
449,c,c,wall,wall,False
450,c,c,wall,table,False
451,c,c,table,wall,False
452,c,c,wall,wall,False
453,c,c,wall,table,False
454,c,c,table,wall,False
455,c,c,wall,wall,False
456,c,c,wall,wall,False
457,c,c,wall,table,False
458,c,c,table,wall,False
459,c,c,wall,wall,False
460,c,c,wall,wall,False
461,c,c,wall,wall,False
462,c,c,wall,wall,False
463,c,c,wall,door,False
464,c,c,door,table,False
465,c,c,table,wall,False
466,c,c,wall,wall,False
467,c,c,wall,wall,False
468,c,c,wall,wall,False
469,c,c,wall,wall,False
470,c,c,wall,wall,False
471,c,c,wall,wall,False
472,c,c,wall,wall,False
473,c,c,wall,wall,False
474,c,c,wall,wall,False
475,c,c,wall,wall,False
476,c,c,wall,wall,False
477,c,c,wall,wall,False
478,c,c,wall,wall,False
479,c,c,wall,wall,False
480,c,c,wall,table,False
481,c,c,table,wall,False
482,c,c,wall,wall,False
483,c,c,wall,table,False
484,c,c,table,wall,False
485,c,c,wall,wall,False
486,c,c,wall,wall,False
487,c,c,wall,wall,False
488,c,c,wall,table,False
489,c,c,table,wall,False
490,c,c,wall,door,False
491,c,c,door,wall,False
492,c,c,wall,wall,False
493,c,c,wall,door,False
494,c,c,door,wall,False
495,c,c,wall,wall,False
496,c,c,wall,wall,False
497,c,c,wall,wall,False
498,c,c,wall,wall,False
499,c,c,wall,door,False
500,c,c,door,door,False
501,c,c,door,table,False
502,c,c,table,wall,False
503,c,c,wall,wall,False
504,c,c,wall,wall,False
505,c,c,wall,wall,False
506,c,c,wall,door,False
507,c,c,door,wall,False
508,c,c,wall,wall,False
509,c,c,wall,door,False
510,c,c,door,table,False
511,c,c,table,door,False
512,c,c,door,wall,False
513,c,c,wall,wall,False
514,c,c,wall,wall,False
515,c,c,wall,table,False
516,c,c,table,wall,False
517,c,c,wall,wall,False
518,c,c,wall,wall,False
519,c,c,wall,wall,False
520,c,c,wall,table,False
521,c,c,table,wall,False
522,c,c,wall,wall,False
523,c,c,wall,wall,False
524,c,c,wall,wall,False
525,c,c,wall,wall,False
526,c,c,wall,wall,False
527,c,c,wall,table,False
528,c,c,table,wall,False
529,c,c,wall,door,False
530,c,c,door,table,False
531,c,c,table,wall,False
532,c,c,wall,table,False
533,c,c,table,wall,False
534,c,c,wall,door,False
535,c,c,door,wall,False
536,c,c,wall,wall,False
537,c,c,wall,wall,False
538,c,c,wall,wall,False
539,c,c,wall,wall,False
540,c,c,wall,wall,False
541,c,c,wall,wall,False
542,c,c,wall,wall,False
543,c,c,wall,door,False
544,c,c,door,wall,False
545,c,c,wall,wall,False
546,c,c,wall,wall,False
547,c,c,wall,wall,False
548,c,c,wall,wall,False
549,c,c,wall,wall,False
550,c,c,wall,door,False
551,c,c,door,table,False
552,c,c,table,wall,False
553,c,c,wall,door,False
554,c,c,door,table,False
555,c,c,table,wall,False
556,c,c,wall,door,False
557,c,c,door,wall,False
558,c,c,wall,wall,False
559,c,c,wall,door,False
560,c,d,door,door,True
561,d,d,door,door,False
562,d,d,door,wall,False
563,d,d,wall,table,False
564,d,d,table,wall,False
565,d,d,wall,door,False
566,d,d,door,wall,False
567,d,d,wall,wall,False
568,d,d,wall,wall,False
569,d,d,wall,door,False
570,d,c,door,door,True
571,c,c,door,wall,False
572,c,c,wall,door,False
573,c,c,door,wall,False
574,c,c,wall,table,False
575,c,c,table,wall,False
576,c,c,wall,wall,False
577,c,c,wall,door,False
578,c,a,door,door,True
579,a,a,door,wall,False
580,a,a,wall,wall,False
581,a,a,wall,wall,False
582,a,a,wall,wall,False
583,a,a,wall,wall,False
584,a,a,wall,wall,False
585,a,a,wall,door,False
586,a,a,door,wall,False
587,a,a,wall,door,False
588,a,a,door,table,False
589,a,a,table,wall,False
590,a,a,wall,wall,False
591,a,a,wall,wall,False
592,a,a,wall,wall,False
593,a,a,wall,door,False
594,a,a,door,wall,False
595,a,a,wall,wall,False
596,a,a,wall,wall,False
597,a,a,wall,door,False
598,a,a,door,wall,False
599,a,a,wall,wall,False
600,a,a,wall,wall,False
601,a,a,wall,table,False
602,a,a,table,wall,False
603,a,a,wall,wall,False
604,a,a,wall,table,False
605,a,a,table,wall,False
606,a,a,wall,door,False
607,a,a,door,wall,False
608,a,a,wall,table,False
609,a,a,table,wall,False
610,a,a,wall,wall,False
611,a,a,wall,wall,False
612,a,a,wall,wall,False
613,a,a,wall,wall,False
614,a,a,wall,wall,False
615,a,a,wall,wall,False
616,a,a,wall,wall,False
617,a,a,wall,wall,False
618,a,a,wall,table,False
619,a,a,table,wall,False
620,a,a,wall,door,False
621,a,a,door,wall,False
622,a,a,wall,door,False
623,a,a,door,wall,False
624,a,a,wall,door,False
625,a,a,door,wall,False
626,a,a,wall,table,False
627,a,a,table,wall,False
628,a,a,wall,wall,False
629,a,a,wall,wall,False
630,a,a,wall,wall,False
631,a,a,wall,door,False
632,a,a,door,wall,False
633,a,a,wall,door,False
634,a,a,door,table,False
635,a,a,table,wall,False
636,a,a,wall,table,False
637,a,a,table,wall,False
638,a,a,wall,wall,False
639,a,a,wall,table,False
640,a,a,table,door,False
641,a,a,door,table,False
642,a,a,table,door,False
643,a,a,door,wall,False
644,a,a,wall,wall,False
645,a,a,wall,table,False
646,a,a,table,wall,False
647,a,a,wall,wall,False
648,a,a,wall,door,False
649,a,a,door,wall,False
650,a,a,wall,wall,False
651,a,a,wall,door,False
652,a,a,door,table,False
653,a,a,table,wall,False
654,a,a,wall,wall,False
655,a,a,wall,door,False
656,a,a,door,door,False
657,a,a,door,wall,False
658,a,a,wall,wall,False
659,a,a,wall,wall,False
660,a,a,wall,door,False
661,a,a,door,table,False
662,a,a,table,wall,False
663,a,a,wall,door,False
664,a,a,door,wall,False
665,a,a,wall,door,False
666,a,a,door,wall,False
667,a,a,wall,wall,False
668,a,a,wall,table,False
669,a,a,table,door,False
670,a,a,door,wall,False
671,a,a,wall,door,False
672,a,a,door,wall,False
673,a,a,wall,wall,False
674,a,a,wall,wall,False
675,a,a,wall,wall,False
676,a,a,wall,door,False
677,a,a,door,wall,False
678,a,a,wall,door,False
679,a,a,door,table,False
680,a,a,table,wall,False
681,a,a,wall,table,False
682,a,a,table,door,False
683,a,a,door,table,False
684,a,a,table,door,False
685,a,a,door,door,False
686,a,a,door,wall,False
687,a,a,wall,wall,False
688,a,a,wall,door,False
689,a,a,door,door,False
690,a,a,door,wall,False
691,a,a,wall,door,False
692,a,a,door,wall,False
693,a,a,wall,door,False
694,a,c,door,door,True
695,c,c,door,wall,False
696,c,c,wall,table,False
697,c,c,table,wall,False
698,c,c,wall,table,False
699,c,c,table,wall,False
700,c,c,wall,wall,False
701,c,c,wall,door,False
702,c,c,door,wall,False
703,c,c,wall,table,False
704,c,c,table,wall,False
705,c,c,wall,wall,False
706,c,c,wall,wall,False
707,c,c,wall,wall,False
708,c,c,wall,wall,False
709,c,c,wall,wall,False
710,c,c,wall,wall,False
711,c,c,wall,wall,False
712,c,c,wall,table,False
713,c,c,table,wall,False
714,c,c,wall,wall,False
715,c,c,wall,door,False
716,c,c,door,wall,False
717,c,c,wall,door,False
718,c,c,door,wall,False
719,c,c,wall,wall,False
720,c,c,wall,wall,False
721,c,c,wall,wall,False
722,c,c,wall,door,False
723,c,c,door,table,False
724,c,c,table,wall,False
725,c,c,wall,door,False
726,c,d,door,door,True
727,d,d,door,wall,False
728,d,d,wall,wall,False
729,d,d,wall,table,False
730,d,d,table,door,False
731,d,d,door,wall,False
732,d,d,wall,table,False
733,d,d,table,door,False
734,d,d,door,wall,False
735,d,d,wall,wall,False
736,d,d,wall,table,False
737,d,d,table,wall,False
738,d,d,wall,wall,False
739,d,d,wall,wall,False
740,d,d,wall,table,False
741,d,d,table,wall,False
742,d,d,wall,door,False
743,d,d,door,wall,False
744,d,d,wall,wall,False
745,d,d,wall,door,False
746,d,d,door,wall,False
747,d,d,wall,wall,False
748,d,d,wall,wall,False
749,d,d,wall,wall,False
750,d,d,wall,wall,False
751,d,d,wall,wall,False
752,d,d,wall,table,False
753,d,d,table,wall,False
754,d,d,wall,wall,False
755,d,d,wall,door,False
756,d,d,door,wall,False
757,d,d,wall,table,False
758,d,d,table,door,False
759,d,d,door,table,False
760,d,d,table,wall,False
761,d,d,wall,wall,False
762,d,d,wall,table,False
763,d,d,table,wall,False
764,d,d,wall,wall,False
765,d,d,wall,wall,False
766,d,d,wall,wall,False
767,d,d,wall,wall,False
768,d,d,wall,door,False
769,d,d,door,wall,False
770,d,d,wall,table,False
771,d,d,table,wall,False
772,d,d,wall,door,False
773,d,d,door,wall,False
774,d,d,wall,wall,False
775,d,d,wall,wall,False
776,d,d,wall,wall,False
777,d,d,wall,wall,False
778,d,d,wall,wall,False
779,d,d,wall,wall,False
780,d,d,wall,wall,False
781,d,d,wall,door,False
782,d,d,door,wall,False
783,d,d,wall,table,False
784,d,d,table,wall,False
785,d,d,wall,door,False
786,d,d,door,wall,False
787,d,d,wall,wall,False
788,d,d,wall,wall,False
789,d,d,wall,wall,False
790,d,d,wall,door,False
791,d,d,door,wall,False
792,d,d,wall,wall,False
793,d,d,wall,wall,False
794,d,d,wall,wall,False
795,d,d,wall,table,False
796,d,d,table,wall,False
797,d,d,wall,door,False
798,d,d,door,wall,False
799,d,d,wall,wall,False
800,d,d,wall,wall,False
801,d,d,wall,wall,False
802,d,d,wall,door,False
803,d,d,door,table,False
804,d,d,table,wall,False
805,d,d,wall,wall,False
806,d,d,wall,door,False
807,d,d,door,table,False
808,d,d,table,wall,False
809,d,d,wall,table,False
810,d,d,table,wall,False
811,d,d,wall,door,False
812,d,b,door,door,True
813,b,b,door,wall,False
814,b,b,wall,table,False
815,b,b,table,wall,False
816,b,b,wall,table,False
817,b,b,table,wall,False
818,b,b,wall,wall,False
819,b,b,wall,wall,False
820,b,b,wall,wall,False
821,b,b,wall,door,False
822,b,b,door,wall,False
823,b,b,wall,wall,False
824,b,b,wall,door,False
825,b,b,door,wall,False
826,b,b,wall,wall,False
827,b,b,wall,wall,False
828,b,b,wall,wall,False
829,b,b,wall,wall,False
830,b,b,wall,door,False
831,b,b,door,door,False
832,b,b,door,wall,False
833,b,b,wall,wall,False
834,b,b,wall,wall,False
835,b,b,wall,wall,False
836,b,b,wall,wall,False
837,b,b,wall,wall,False
838,b,b,wall,wall,False
839,b,b,wall,wall,False
840,b,b,wall,table,False
841,b,b,table,wall,False
842,b,b,wall,door,False
843,b,b,door,wall,False
844,b,b,wall,wall,False
845,b,b,wall,door,False
846,b,b,door,wall,False
847,b,b,wall,door,False
848,b,b,door,wall,False
849,b,b,wall,wall,False
850,b,b,wall,wall,False
851,b,b,wall,wall,False
852,b,b,wall,wall,False
853,b,b,wall,table,False
854,b,b,table,wall,False
855,b,b,wall,door,False
856,b,b,door,door,False
857,b,b,door,wall,False
858,b,b,wall,wall,False
859,b,b,wall,wall,False
860,b,b,wall,door,False
861,b,b,door,table,False
862,b,b,table,wall,False
863,b,b,wall,wall,False
864,b,b,wall,wall,False
865,b,b,wall,table,False
866,b,b,table,wall,False
867,b,b,wall,wall,False
868,b,b,wall,wall,False
869,b,b,wall,table,False
870,b,b,table,wall,False
871,b,b,wall,wall,False
872,b,b,wall,door,False
873,b,b,door,wall,False
874,b,b,wall,wall,False
875,b,b,wall,wall,False
876,b,b,wall,wall,False
877,b,b,wall,door,False
878,b,b,door,door,False
879,b,b,door,door,False
880,b,b,door,wall,False
881,b,b,wall,wall,False
882,b,b,wall,wall,False
883,b,b,wall,wall,False
884,b,b,wall,door,False
885,b,b,door,table,False
886,b,b,table,wall,False
887,b,b,wall,door,False
888,b,b,door,wall,False
889,b,b,wall,wall,False
890,b,b,wall,wall,False
891,b,b,wall,wall,False
892,b,b,wall,table,False
893,b,b,table,door,False
894,b,a,door,door,True
895,a,a,door,wall,False
896,a,a,wall,door,False
897,a,a,door,wall,False
898,a,a,wall,door,False
899,a,a,door,wall,False
900,a,a,wall,wall,False
901,a,a,wall,wall,False
902,a,a,wall,wall,False
903,a,a,wall,wall,False
904,a,a,wall,wall,False
905,a,a,wall,table,False
906,a,a,table,wall,False
907,a,a,wall,wall,False
908,a,a,wall,door,False
909,a,a,door,table,False
910,a,a,table,wall,False
911,a,a,wall,wall,False
912,a,a,wall,wall,False
913,a,a,wall,wall,False
914,a,a,wall,wall,False
915,a,a,wall,wall,False
916,a,a,wall,wall,False
917,a,a,wall,door,False
918,a,a,door,wall,False
919,a,a,wall,wall,False
920,a,a,wall,wall,False
921,a,a,wall,wall,False
922,a,a,wall,wall,False
923,a,a,wall,door,False
924,a,a,door,wall,False
925,a,a,wall,wall,False
926,a,a,wall,door,False
927,a,a,door,table,False
928,a,a,table,door,False
929,a,a,door,door,False
930,a,a,door,wall,False
931,a,a,wall,table,False
932,a,a,table,wall,False
933,a,a,wall,table,False
934,a,a,table,wall,False
935,a,a,wall,door,False
936,a,a,door,door,False
937,a,a,door,wall,False
938,a,a,wall,wall,False
939,a,a,wall,wall,False
940,a,a,wall,table,False
941,a,a,table,wall,False
942,a,a,wall,wall,False
943,a,a,wall,table,False
944,a,a,table,wall,False
945,a,a,wall,table,False
946,a,a,table,wall,False
947,a,a,wall,wall,False
948,a,a,wall,table,False
949,a,a,table,wall,False
950,a,a,wall,wall,False
951,a,a,wall,wall,False
952,a,a,wall,wall,False
953,a,a,wall,door,False
954,a,a,door,table,False
955,a,a,table,door,False
956,a,a,door,wall,False
957,a,a,wall,wall,False
958,a,a,wall,door,False
959,a,b,door,door,True
960,b,b,door,wall,False
961,b,b,wall,wall,False
962,b,b,wall,wall,False
963,b,b,wall,wall,False
964,b,b,wall,wall,False
965,b,b,wall,wall,False
966,b,b,wall,door,False
967,b,b,door,wall,False
968,b,b,wall,wall,False
969,b,b,wall,table,False
970,b,b,table,wall,False
971,b,b,wall,wall,False
972,b,b,wall,wall,False
973,b,b,wall,table,False
974,b,b,table,wall,False
975,b,b,wall,wall,False
976,b,b,wall,table,False
977,b,b,table,wall,False
978,b,b,wall,table,False
979,b,b,table,door,False
980,b,a,door,door,True
981,a,a,door,wall,False
982,a,a,wall,wall,False
983,a,a,wall,wall,False
984,a,a,wall,door,False
985,a,a,door,wall,False
986,a,a,wall,wall,False
987,a,a,wall,wall,False
988,a,a,wall,door,False
989,a,a,door,wall,False
990,a,a,wall,door,False
991,a,a,door,door,False
992,a,a,door,wall,False
993,a,a,wall,wall,False
994,a,a,wall,wall,False
995,a,a,wall,wall,False
996,a,a,wall,wall,False
997,a,a,wall,door,False
998,a,a,door,door,False
999,a,a,door,wall,False
1000,a,a,wall,wall,False
1001,a,a,wall,table,False
1002,a,a,table,door,False
1003,a,a,door,wall,False
1004,a,a,wall,door,False
1005,a,a,door,wall,False
1006,a,a,wall,table,False
1007,a,a,table,wall,False
1008,a,a,wall,wall,False
1009,a,a,wall,wall,False
1010,a,a,wall,door,False
1011,a,a,door,wall,False
1012,a,a,wall,wall,False
1013,a,a,wall,wall,False
1014,a,a,wall,door,False
1015,a,a,door,door,False
1016,a,a,door,wall,False
1017,a,a,wall,wall,False
1018,a,a,wall,wall,False
1019,a,a,wall,door,False
1020,a,a,door,wall,False
1021,a,a,wall,wall,False
1022,a,a,wall,wall,False
1023,a,a,wall,wall,False
1024,a,a,wall,wall,False
1025,a,a,wall,door,False
1026,a,a,door,wall,False
1027,a,a,wall,table,False
1028,a,a,table,door,False
1029,a,a,door,wall,False
1030,a,a,wall,wall,False
1031,a,a,wall,wall,False
1032,a,a,wall,wall,False
1033,a,a,wall,wall,False
1034,a,a,wall,table,False
1035,a,a,table,wall,False
1036,a,a,wall,door,False
1037,a,a,door,table,False
1038,a,a,table,wall,False
1039,a,a,wall,door,False
1040,a,a,door,wall,False
1041,a,a,wall,wall,False
1042,a,a,wall,wall,False
1043,a,a,wall,door,False
1044,a,c,door,door,True
1045,c,c,door,table,False
1046,c,c,table,wall,False
1047,c,c,wall,wall,False
